Player_ID,Season,mu_hs,mu_hl,mu_hS,mu_sh,mu_ls,mu_hs_estimate,mu_hl_estimate,mu_hS_estimate,mu_sh_estimate,mu_ls_estimate,mu_hs_approx,mu_hl_approx,mu_hS_approx,mu_sh_approx,mu_ls_approx
1457,2017,0.051221501564794,NA,NA,0.2975575860120936,NA,0.037037037037037035,NA,NA,0.16666666666666666,NA,0.08004270767353637,0,0,0.6931471805599453,NA
1457,2020,0.054007425053860025,NA,NA,0.166678403176265,NA,0.006172839506172839,NA,NA,0.2,NA,0.11778303565638351,0,0,NA,NA
1458,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1458,2018,NA,NA,NA,NA,NA,0.040983606557377046,0.01639344262295082,NA,0.21621621621621623,0.125,0.1643030512912763,0.06252035698133393,0,1.0986122886681096,0.4054651081081643
1458,2019,4.368377514247007,NA,NA,6.552506310841499,NA,0.2,NA,NA,0.25,NA,0.4054651081081643,0,0,0.6931471805599453,NA
1458,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1458,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1458,2022,0.026528473732550184,NA,NA,0.679504256975463,NA,0.011976047904191617,NA,NA,0.3333333333333333,NA,0.028170876966696335,0,0,1.0986122886681096,NA
1458,2023,NA,NA,NA,NA,NA,0.028985507246376812,0.028985507246376812,NA,0.2,0.038461538461538464,0.07145896398214498,0.07145896398214498,0,0.9808292530117262,0.15415067982725822
1458,2024,NA,NA,NA,NA,NA,0.03937007874015748,0.007874015748031496,NA,0.29411764705882354,0.038461538461538464,0.10318423623523075,0.019802627296179754,0,1.7917594692280552,0.1823215567939546
1459,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1459,2018,NA,NA,NA,NA,NA,0.029850746268656716,0.007462686567164179,NA,0.15151515151515152,0.2,0.06782259633876106,0.016529301951210582,0,0.9808292530117262,0.6931471805599453
1459,2019,0.015661369417655713,0.033040596164353404,0.016316050479617056,0.16641789270402235,0.04329542640193532,0.01282051282051282,0.02564102564102564,0.01282051282051282,0.125,0.04,0.04445176257083381,0.09097177820572663,0.04445176257083381,0.5596157879354228,0.1431008436406733
1460,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1461,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1461,2019,0.025288728431284095,NA,NA,1.9278949361549491,NA,0.005813953488372093,NA,NA,0.3333333333333333,NA,0.012739025777429714,0,0,NA,NA
1461,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1461,2021,0.008911038742275081,NA,NA,0.15330379914573217,NA,0.007194244604316547,NA,NA,0.2,NA,0.015504186535965199,0,0,0.6931471805599453,NA
1461,2022,0.5118733693525642,NA,NA,9.471441512533376,NA,0.02564102564102564,NA,NA,0.25,NA,0.055569851154810765,0,0,NA,NA
1461,2023,0.5305709304817382,NA,NA,9.55227039787537,NA,0.024844720496894408,NA,NA,0.4,NA,0.05715841383994864,0,0,NA,NA
1461,2024,0.42078732994855367,NA,NA,10.37971053224324,NA,0.018404907975460124,NA,NA,0.5,NA,0.041385216162854364,0,0,NA,NA
1462,2018,0.009108467411983973,NA,NA,0.3814574060959225,NA,0.005917159763313609,NA,NA,0.14285714285714285,NA,0.013072081567352775,0,0,NA,NA
1462,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1462,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
